,Job Title,Job Description
0,SOFTWARE ENGINEER (REMOTE),"Position PurposeThe Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.Key Responsibilities60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of peopleDirect Manager/Direct ReportsThis position typically reports to Software Engineer Manager or Sr. ManagerThis position has 0 Direct ReportsTravel RequirementsNo travel required.Physical RequirementsMost of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.Working ConditionsLocated in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.


        Show more

        


        Show less"
1,SOFTWARE ENGINEER (REMOTE),"Position PurposeThe Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.Key Responsibilities60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of peopleDirect Manager/Direct ReportsThis position typically reports to Software Engineer Manager or Sr. ManagerThis position has 0 Direct ReportsTravel RequirementsNo travel required.Physical RequirementsMost of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.Working ConditionsLocated in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.


        Show more

        


        Show less"
2,Software Engineer – Early Career,"Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work.At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.Lockheed Martin Rotary and Mission Systems in King of Prussia, PA is seeking a full-time Early Career Software Engineer. In this role, you will work within AGILE teams to develop, test and execute software features. The successful candidate will have experience and/or knowledge of C++/C, Linux Operating Systems and Agile Methodology.Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access.Basic Qualifications: BS degree in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or equivalent STEM field from an accredited college. Academic or professional experience using Java, C++, C#, Python, or similar programming languages Strong verbal and written communication skills Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special accessDesired Skills: Understand Software Development Methodologies Understand Full Software Life-Cycle Development Proficient in software development tools Academic or professional experience in Database design and development Academic or professional experience in computer operating system (Windows, Unix/Linux, Shell Scripting) Ability to work with cross-functional teams (Hardware, Systems Engineering, Integration & Test, and other disciplines) Willing to support business travel as requiredSecurity Clearance Statement: This position requires a government security clearance, you must be a US Citizen for consideration.Clearance Level: SecretOther Important Information You Should KnowExpression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.Ability to Work Remotely: Part-time Remote Telework: The employee selected for this position will work part of their work schedule remotely and part of their work schedule at a designated Lockheed Martin facility. The specific weekly schedule will be discussed during the hiring process.Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.Schedule for this Position: 4x10 hour day, 3 days off per weekPay Rate:The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $57,800 - $110,800. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.(Washington state applicants only) Non-represented full time employees: accrue 10 hours per month of Paid Time Off (PTO); receive 40 hours of Granted PTO annually for incidental absences; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of PTO per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO is prorated based on hours worked and start date during the calendar year.This position is incentive plan eligible.Pay Rate:The annual base salary range for this position in most major metropolitan areas in California and New York is $66,500 - $125,300. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.This position is incentive plan eligible.Pay Rate:The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $57,800 - $110,800. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.(Washington state applicants only) Non-represented full time employees: accrue 10 hours per month of Paid Time Off (PTO); receive 40 hours of Granted PTO annually for incidental absences; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of PTO per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO is prorated based on hours worked and start date during the calendar year.This position is incentive plan eligible.Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.Experience Level: 4 yr and up CollegeBusiness Unit: RMSRelocation Available: PossibleCareer Area: Software EngineeringType: Full-TimeShift: First
      

        Show more

        


        Show less"
3,Software Engineer,"Position PurposeThe Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.Key Responsibilities60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of peopleDirect Manager/Direct ReportsThis position typically reports to Software Engineer Manager or Sr. Manager This position has 0 Direct ReportsTravel RequirementsNo travel required.Physical RequirementsMost of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.Working ConditionsLocated in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable. Minimum QualificationsMust be eighteen years of age or older.Must be legally permitted to work in the United States.Preferred QualificationsExposure to front end technology such as HTML, CSS, and Javascript/Typescript frameworksExposure to an object-oriented programming language (preferably Java)Exposure to source code version controlExposure to Relational or noSQL database technologyExposure to cloud computing techniquesExposure to CI/CD toolsExposure to microservice-based architectureMinimum EducationThe knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.Preferred EducationNo additional educationMinimum Years Of Work Experience1Preferred Years Of Work ExperienceNo additional years of experienceMinimum Leadership ExperienceNonePreferred Leadership ExperienceNoneCertificationsNoneCompetenciesGlobal PerspectiveManages AmbiguityNimble LearningSelf-DevelopmentCollaboratesCultivates InnovationSituational AdaptabilityCommunicates EffectivelyDrives ResultsInterpersonal Savvy


        Show more

        


        Show less"
4,Software Engineer,"Position PurposeThe Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.Key Responsibilities60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of peopleDirect Manager/Direct ReportsThis position typically reports to Software Engineer Manager or Sr. Manager This position has 0 Direct ReportsTravel RequirementsNo travel required.Physical RequirementsMost of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.Working ConditionsLocated in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable. Minimum QualificationsMust be eighteen years of age or older.Must be legally permitted to work in the United States.Preferred QualificationsExposure to front end technology such as HTML, CSS, and Javascript/Typescript frameworksExposure to an object-oriented programming language (preferably Java)Exposure to source code version controlExposure to Relational or noSQL database technologyExposure to cloud computing techniquesExposure to CI/CD toolsExposure to microservice-based architectureMinimum EducationThe knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.Preferred EducationNo additional educationMinimum Years Of Work Experience1Preferred Years Of Work ExperienceNo additional years of experienceMinimum Leadership ExperienceNonePreferred Leadership ExperienceNoneCertificationsNoneCompetenciesGlobal PerspectiveManages AmbiguityNimble LearningSelf-DevelopmentCollaboratesCultivates InnovationSituational AdaptabilityCommunicates EffectivelyDrives ResultsInterpersonal Savvy


        Show more

        


        Show less"
5,Software Engineer - Frontend / Fullstack,"What it means to be an early engineerJoining Vellum this early means that you’re going to play a huge part in guiding both the technical and cultural evolution of the company. Together, we’re going to face the hardest technical challenges this journey has to offer head on. As the team grows, you’ll be the battle hardened expert that everyone looks towards for guidance.With great power comes great responsibility 🙂What you’re signing up forTackling our most difficult (and interesting) problems - chaining, onboarding flows and prompt iteration, just to name a fewShaping the way users experience VellumOptimizing the performance of our frontendA/B testing changes to maximize the number of users that achieve successful outcomesDefining and scoping green field projects that move the company forwardWorking closely with customers to understand what the need, figuring out how to make them successful, and owning the solutions end to endServing as a cultural pillar of the teamOur stackIn Case You’re CuriousReact - as our frontend frameworkTypescript - what we write our frontend inDjango - for our webserversFlask - for our microservicesPython - what we write our backend inPostgres - as our primary databaseGoogle Cloud Platform - as our cloud providerWorking at Vellum--We’re laser focused on helping companies bring AI into production and providing real value. Decision making is simple: if what we do allows our users to increase how many use cases of AI they’re able to successfully put into production, then we do it!Don’t cut corners, cut the right corners. What can you do with 10% of your time to get 90% of the desired impact? Now that you only spent 10% of the time doing something, imagine how much more can be done with the rest of your time!!Everyone is a 1000x engineer/designer/pm when they’re passionate about the problems they’re solving and love the people they’re working withBecause we trust each other, we can move fast and have fun doing it 😄


        Show more

        


        Show less"
6,Software Engineer - Frontend / Fullstack,"What it means to be an early engineerJoining Vellum this early means that you’re going to play a huge part in guiding both the technical and cultural evolution of the company. Together, we’re going to face the hardest technical challenges this journey has to offer head on. As the team grows, you’ll be the battle hardened expert that everyone looks towards for guidance.With great power comes great responsibility 🙂What you’re signing up forTackling our most difficult (and interesting) problems - chaining, onboarding flows and prompt iteration, just to name a fewShaping the way users experience VellumOptimizing the performance of our frontendA/B testing changes to maximize the number of users that achieve successful outcomesDefining and scoping green field projects that move the company forwardWorking closely with customers to understand what the need, figuring out how to make them successful, and owning the solutions end to endServing as a cultural pillar of the teamOur stackIn Case You’re CuriousReact - as our frontend frameworkTypescript - what we write our frontend inDjango - for our webserversFlask - for our microservicesPython - what we write our backend inPostgres - as our primary databaseGoogle Cloud Platform - as our cloud providerWorking at Vellum--We’re laser focused on helping companies bring AI into production and providing real value. Decision making is simple: if what we do allows our users to increase how many use cases of AI they’re able to successfully put into production, then we do it!Don’t cut corners, cut the right corners. What can you do with 10% of your time to get 90% of the desired impact? Now that you only spent 10% of the time doing something, imagine how much more can be done with the rest of your time!!Everyone is a 1000x engineer/designer/pm when they’re passionate about the problems they’re solving and love the people they’re working withBecause we trust each other, we can move fast and have fun doing it 😄


        Show more

        


        Show less"
7,Software Engineer - Frontend / Fullstack,"What it means to be an early engineerJoining Vellum this early means that you’re going to play a huge part in guiding both the technical and cultural evolution of the company. Together, we’re going to face the hardest technical challenges this journey has to offer head on. As the team grows, you’ll be the battle hardened expert that everyone looks towards for guidance.With great power comes great responsibility 🙂What you’re signing up forTackling our most difficult (and interesting) problems - chaining, onboarding flows and prompt iteration, just to name a fewShaping the way users experience VellumOptimizing the performance of our frontendA/B testing changes to maximize the number of users that achieve successful outcomesDefining and scoping green field projects that move the company forwardWorking closely with customers to understand what the need, figuring out how to make them successful, and owning the solutions end to endServing as a cultural pillar of the teamOur stackIn Case You’re CuriousReact - as our frontend frameworkTypescript - what we write our frontend inDjango - for our webserversFlask - for our microservicesPython - what we write our backend inPostgres - as our primary databaseGoogle Cloud Platform - as our cloud providerWorking at Vellum--We’re laser focused on helping companies bring AI into production and providing real value. Decision making is simple: if what we do allows our users to increase how many use cases of AI they’re able to successfully put into production, then we do it!Don’t cut corners, cut the right corners. What can you do with 10% of your time to get 90% of the desired impact? Now that you only spent 10% of the time doing something, imagine how much more can be done with the rest of your time!!Everyone is a 1000x engineer/designer/pm when they’re passionate about the problems they’re solving and love the people they’re working withBecause we trust each other, we can move fast and have fun doing it 😄


        Show more

        


        Show less"
8,Software Engineer - Frontend / Fullstack,"What it means to be an early engineerJoining Vellum this early means that you’re going to play a huge part in guiding both the technical and cultural evolution of the company. Together, we’re going to face the hardest technical challenges this journey has to offer head on. As the team grows, you’ll be the battle hardened expert that everyone looks towards for guidance.With great power comes great responsibility 🙂What you’re signing up forTackling our most difficult (and interesting) problems - chaining, onboarding flows and prompt iteration, just to name a fewShaping the way users experience VellumOptimizing the performance of our frontendA/B testing changes to maximize the number of users that achieve successful outcomesDefining and scoping green field projects that move the company forwardWorking closely with customers to understand what the need, figuring out how to make them successful, and owning the solutions end to endServing as a cultural pillar of the teamOur stackIn Case You’re CuriousReact - as our frontend frameworkTypescript - what we write our frontend inDjango - for our webserversFlask - for our microservicesPython - what we write our backend inPostgres - as our primary databaseGoogle Cloud Platform - as our cloud providerWorking at Vellum--We’re laser focused on helping companies bring AI into production and providing real value. Decision making is simple: if what we do allows our users to increase how many use cases of AI they’re able to successfully put into production, then we do it!Don’t cut corners, cut the right corners. What can you do with 10% of your time to get 90% of the desired impact? Now that you only spent 10% of the time doing something, imagine how much more can be done with the rest of your time!!Everyone is a 1000x engineer/designer/pm when they’re passionate about the problems they’re solving and love the people they’re working withBecause we trust each other, we can move fast and have fun doing it 😄


        Show more

        


        Show less"
9,Front End Software Engineer - React,"Work options: HybridHybridTitle: Front End Software Engineer - ReactLocation: Beaverton, ORDuration: 1 Year ContractYour TeamNike’s Creative Production platform empowers creative professionals in our Marketing teams to tell the story of our products. We use the latest technology and cloud services to automate the production of the images and video for nike.com. Relying on mutual respect, learning and communication, we use agile methods and open-source software to create the future of sport.Your RoleAs a Front End React Software Engineer you will partner with product managers to design, construct and modernize novel software solutions. You will team with other developers to participate in code review bringing your experience and commitment to software quality and continuous deployment. You will be part of making important technology decisions and also support the platform in production working directly with marketing professionals. Your success will most often be found in working collaboratively in your own team and in Nike's larger Global Technology organization. You will build a reputation of properly estimating and delivering code with high quality.The ProjectYou will be embedded in a high functioning agile team, delivering working, high quality production grade software to power Nike’s creative production platform. This mission critical platform allows Nike to create brand defining imagery and video for our digital experiences, empowering distributed teams in studios around the globe. Our ideal candidate will have direct experience supporting mission critical apps in production for major organizations. You will work with seasoned user experience designers and product partners to turn high fidelity wireframes into working software. You will write unit and end to end testing, actively participating in the quality control of the application. You are a team player, embodying Nike’s Maxim: “Win as a team.”Minimum QualificationsBachelor degree or equivalent practical experience7 years of experience in software development7 years of experience with testing and launching software products4 years of experience developing React based Single Page Apps4 years of experience with TypeScriptPreferred QualificationsExperience working in a team that uses agile methodsExperience using continuous integration and deployment (CI/CD) tools e.g., JenkinsExperience with automated testing (Preferably Playwright)Experience with WebpackExperience with Node.jsExperience with Jest


        Show more

        


        Show less"
